Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,
40291.1,x,,<hari kelahir> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40292,k,0,hari kemerdekaan,dasar,,,
40292.1,x,,<hari kemerdeka> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40293,k,0,hari kemudian,dasar,,,
40293.1,x,,<hari kemudi> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40294,k,0,hari kerja,dasar,,,
,,,,,,,
40295,k,0,hari kiamat,dasar,,,
,,,,,,,
40296,k,0,hari krida,dasar,,,
,,,,,,,
40297,k,0,hari lahir,dasar,,,
,,,,,,,
40298,k,0,hari lebaran,dasar,,,
40298.1,x,,<hari lebar> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40299,k,0,hari libur,dasar,,,
,,,,,,,
40300,k,0,hari lunasan,dasar,,,
40300.1,x,,<hari lunas> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40301,k,0,hari mahsyar,dasar,,,
,,,,,,,
40302,k,0,hari matahari,dasar,,,
40302.1,x,,<hari matahar> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40303,k,0,hari nahar,dasar,,,
,,,,,,,
40304,k,0,hari nahas,dasar,,,
,,,,,,,
40305,k,0,hari nanti,dasar,,,
40305.1,x,,<hari nant> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40306,k,0,hari natal,dasar,,,
,,,,,,,
40307,k,0,hari pahlawan,dasar,,,
40307.1,x,,<hari pahlaw> + -an,bentukan,[38] [S] -an + (<all>),,
40307.2,x,,<hari pahla> + -wan,bentukan,[180] [S] -wan + (<others>),,
40307.3,x,,<hari pahl> + [-wan:-awan],bentukan,[18000001] [S] -wan + (<all>),,
,,,,,,,
40308,k,0,hari panen,dasar,,,
,,,,,,,
40309,k,0,hari pekan,dasar,,,
40309.1,x,,<hari pe> + -kan,bentukan,[29] [S] -kan + (<all>),,
40309.2,x,,<hari pek> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40310,k,0,hari pembalasan,dasar,,,
40310.1,x,,<hari pembalas> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40311,k,0,hari peringatan,dasar,,,
40311.1,x,,<hari peringat> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40312,k,0,hari raya,dasar,,,
,,,,,,,
40313,k,0,hari raya haji,dasar,,,
40313.1,x,,<hari raya haj> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40314,k,0,hari raya iduladha,dasar,,,
,,,,,,,
40315,k,0,hari raya idulfitri,dasar,,,
40315.1,x,,<hari raya idulfitr> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40316,k,0,hari raya kurban,dasar,,,
40316.1,x,,<hari raya kurb> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40317,k,0,hari samar muka,dasar,,,
,,,,,,,
40318,k,0,hari saraswati,dasar,,,
40318.1,x,,<hari saraswat> + -i,bentukan,[28] [S] -i + (<all>),,
40318.2,x,,<hari saras> + -wati,bentukan,[181] [S] -wati + (<all>),,
,,,,,,,
40319,k,0,hari sekolah,dasar,,,
40319.1,x,,<hari seko> + -lah,bentukan,[31] [FS] -lah + (<all>),,
,,,,,,,
40320,k,0,hari setelah sebar,dasar,,,
,,,,,,,
40321,k,0,hari setelah tanam,dasar,,,
,,,,,,,
40322,k,0,hari sial,dasar,,,
,,,,,,,
40323,k,0,hari sideris,dasar,,,
40323.1,x,,<hari sideri> + [-is:-s],bentukan,[177] [S] -is + (i),,
40323.2,x,,<hari sider> + -is,bentukan,[178] [S] -is + (<others>),,
,,,,,,,
40324,k,0,hari takwim,dasar,,,
,,,,,,,
40325,k,0,hari tarwiah,dasar,,,
40325.1,x,,<hari tarw> + -iah,bentukan,[175] [S] -iah + (<others>),,
,,,,,,,
40326,k,0,hari tasyrik,dasar,,,
,,,,,,,
40327,k,0,hari tua,dasar,,,
,,,,,,,
40328,k,0,hari tunai,dasar,,,
40328.1,x,,<hari tuna> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40329,k,0,hari ulang tahun,dasar,,,
,,,,,,,
40330,k,0,hari valentin,dasar,,,
,,,,,,,
40331,v,14,hari-h,dasar,,,
,,,,,,,
40332,v,640,hari-hari,dasar,,,
40332.1,v,,<hari> [-] <r>,bentukan,[23] [RD] |,,
40332.2,x,,<har> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |,,
,,,,,,,
40333,v,22,hari-hariku,dasar,,,
40333.1,x,,<hari-hari> + -ku,bentukan,[32] [SFS] -ku + (<all>),,
40333.2,v,,<hari> [-] <r> + -ku,bentukan,[23] [RD] | => [32] [SFS] -ku + (<all>),,
40333.3,x,,<har> + -i [-] <r> + -i + -ku,bentukan,[28] [S] -i + (<all>) => [23] [RD] | => [32] [SFS] -ku + (<all>),,
,,,,,,,
40334,v,6,hari-harimu,dasar,,,
40334.1,x,,<hari-hari> + -mu,bentukan,[33] [SFS] -mu + (<all>),,
40334.2,v,,<hari> [-] <r> + -mu,bentukan,[23] [RD] | => [33] [SFS] -mu + (<all>),,
40334.3,x,,<har> + -i [-] <r> + -i + -mu,bentukan,[28] [S] -i + (<all>) => [23] [RD] | => [33] [SFS] -mu + (<all>),,
,,,,,,,
40335,v,66,hari-harinya,dasar,,,
40335.1,x,,<hari> [-] <r> + -nya,bentukan,[23] [RD] |,,
40335.2,x,,<har> + -i [-] <r> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [23] [RD] |,,
40335.3,v,,<hari> [-] <r> + -nya,bentukan,[23] [RD] | => [34] [SFS] -nya + (<all>),,
40335.4,x,,<har> + -i [-] <r> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [23] [RD] | => [34] [SFS] -nya + (<all>),,
,,,,,,,
40336,k,1448,harian,dasar,,,
40336.1,v,,<hari> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40337,v,3,harian-harian,dasar,,,
40337.1,x,,<harian> [-] <r>,bentukan,[23] [RD] |,,
40337.2,v,,<hari> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,
,,,,,,,
40338,v,2,harianmu,dasar,,,
40338.1,x,,<harian> + -mu,bentukan,[33] [SFS] -mu + (<all>),,
40338.2,v,,<hari> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>),,
,,,,,,,
40339,v,82,hariannya,dasar,,,
40339.1,x,,<harian> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
40339.2,v,,<hari> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
40340,k,14,haribaan,dasar,,,
40340.1,x,,<hariba> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40341,k,178,harimau,dasar,,,
,,,,,,,
40342,k,0,harimau akar,dasar,,,
,,,,,,,
40343,k,0,harimau belang,dasar,,,
,,,,,,,
40344,k,0,harimau campa,dasar,,,
,,,,,,,
40345,k,0,harimau dahan,dasar,,,
40345.1,x,,<harimau dah> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40346,k,0,harimau dandi,dasar,,,
40346.1,x,,<harimau dand> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40347,k,0,harimau kumbang,dasar,,,
,,,,,,,
40348,k,0,harimau loreng,dasar,,,
,,,,,,,
40349,k,0,harimau peturun,dasar,,,
,,,,,,,
40350,k,0,harimau tasmania,dasar,,,
,,,,,,,
40351,k,0,harimau tunggal,dasar,,,
,,,,,,,
40352,v,3,harimaumu,dasar,,,
40352.1,v,,<harimau> + -mu,bentukan,[33] [SFS] -mu + (<all>),,
,,,,,,,
40353,v,4,harimaunya,dasar,,,
40353.1,v,,<harimau> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40354,v,11,harimu,dasar,,,
40354.1,v,,<hari> + -mu,bentukan,[33] [SFS] -mu + (<all>),,
40354.2,x,,<har> + -i + -mu,bentukan,[28] [S] -i + (<all>) => [33] [SFS] -mu + (<all>),,
,,,,,,,
40355,k,6,haring,dasar,,,
,,,,,,,
40356,k,7,harini,dasar,,,
40356.1,x,,<harin> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40357,v,952,harinya,dasar,,,
40357.1,v,,<hari> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
40357.2,x,,<har> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
40358,k,141,haris,dasar,,,
40358.1,x,,<hari> + [-is:-s],bentukan,[177] [S] -is + (i),,
40358.2,x,,<har> + -is,bentukan,[178] [S] -is + (<others>),,
,,,,,,,
40359,k,0,harisah,dasar,,,
,,,,,,,
40360,k,0,harit,dasar,,,
,,,,,,,
40361,k,217,harkat,dasar,,,
,,,,,,,
40362,v,4,harkatnya,dasar,,,
40362.1,v,,<harkat> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
,,,,,,,
40363,k,0,harmatan,dasar,,,
40363.1,x,,<harmat> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40364,k,0,harmika,dasar,,,
,,,,,,,
40365,k,210,harmoni,dasar,,,
40365.1,x,,<harmon> + -i,bentukan,[28] [S] -i + (<all>),,
,,,,,,,
40366,k,4,harmonik,dasar,,,
,,,,,,,
40367,k,16,harmonika,dasar,,,
,,,,,,,
40368,k,429,harmonis,dasar,,,
40368.1,v,,<harmoni> + [-is:-s],bentukan,[177] [S] -is + (i),,
40368.2,x,,<harmon> + -is,bentukan,[178] [S] -is + (<others>),,
,,,,,,,
40369,k,256,harmonisasi,dasar,,,
40369.1,x,,<harmonisas> + -i,bentukan,[28] [S] -i + (<all>),,
40369.2,v,,<harmoni> + [-isasi:-sasi],bentukan,[166] [S] -isasi + (i),,
40369.3,x,,<harmonis> + [-isasi:-asi],bentukan,[167] [S] -isasi + (is),,
40369.4,x,,<harmo> + [-isasi:-nisasi],bentukan,[168] [S] -isasi + (a,,
40369.5,x,,<harmon> + -isasi,bentukan,[169] [S] -isasi + (<others>),,
,,,,,,,
40370,v,5,harmonisasinya,dasar,,,
40370.1,x,,<harmonisasi> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
40370.2,x,,<harmonisas> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),,
40370.3,v,,<harmoni> + [-isasi:-sasi] + -nya,bentukan,[166] [S] -isasi + (i) => [34] [SFS] -nya + (<all>),,
40370.4,x,,<harmonis> + [-isasi:-asi] + -nya,bentukan,[167] [S] -isasi + (is) => [34] [SFS] -nya + (<all>),,
40370.5,x,,<harmo> + [-isasi:-nisasi] + -nya,bentukan,[168] [S] -isasi + (a,,
40370.6,x,,<harmon> + -isasi + -nya,bentukan,[169] [S] -isasi + (<others>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
40371,v,10,harmonisnya,dasar,,,
40371.1,x,,<harmonis> + -nya,bentukan,[34] [SFS] -nya + (<all>),,
40371.2,v,,<harmoni> + [-is:-s] + -nya,bentukan,[177] [S] -is + (i) => [34] [SFS] -nya + (<all>),,
40371.3,x,,<harmon> + -is + -nya,bentukan,[178] [S] -is + (<others>) => [34] [SFS] -nya + (<all>),,
,,,,,,,
40372,k,2,harmonium,dasar,,,
,,,,,,,
40373,k,0,harnal,dasar,,,
,,,,,,,
40374,k,0,harnet,dasar,,,
,,,,,,,
40375,k,0,haroa,dasar,,,
,,,,,,,
40376,k,10,harpa,dasar,,,
,,,,,,,
40377,k,0,harpa aeolian,dasar,,,
40377.1,x,,<harpa aeoli> + -an,bentukan,[38] [S] -an + (<all>),,
,,,,,,,
40378,k,0,harpaksofobia,dasar,,,
40378.1,x,,<harpakso> + -fobia,bentukan,[107] [S] -fobia + (<all>),,
