Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,
27028.5,x,,<diizin> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27028.6,x,,<diizink> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27029,v,317,dijabarkan,dasar,,
27029.1,v,,di- + <jabar> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27029.2,x,,di- + <jabarkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27029.3,x,,<dijabar> + -kan,bentukan,[29] [S] -kan + (<all>),
27029.4,x,,<dijabark> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27030,v,6,dijabarkannya,dasar,,
27030.1,x,,di- + <jabarkannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27030.2,x,,<dijabarkan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27030.3,v,,di- + <jabar> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27030.4,x,,di- + <jabarkan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27030.5,x,,<dijabar> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27030.6,x,,<dijabark> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27031,v,163,dijabat,dasar,,
27031.1,v,,di- + <jabat>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27032,v,9,dijabatnya,dasar,,
27032.1,x,,di- + <jabatnya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27032.2,x,,<dijabat> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27032.3,v,,di- + <jabat> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
,,,,,,
27033,t,8,dijadiin,dasar,,
27033.1,x,,di- + <jadiin>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27034,v,3008,dijadikan,dasar,,
27034.1,v,,di- + <jadi> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27034.2,x,,di- + <jadikan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27034.3,x,,<dijadi> + -kan,bentukan,[29] [S] -kan + (<all>),
27034.4,x,,<dijadik> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27035,v,52,dijadikannya,dasar,,
27035.1,x,,di- + <jadikannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27035.2,x,,<dijadikan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27035.3,v,,di- + <jadi> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27035.4,x,,di- + <jadikan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27035.5,x,,<dijadi> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27035.6,x,,<dijadik> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27036,x,2,dijadwakan,dasar,,
27036.1,x,,di- + <jadwa> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27036.2,x,,di- + <jadwakan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27036.3,x,,<dijadwa> + -kan,bentukan,[29] [S] -kan + (<all>),
27036.4,x,,<dijadwak> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27037,v,452,dijadwalkan,dasar,,
27037.1,v,,di- + <jadwal> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27037.2,x,,di- + <jadwalkan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27037.3,x,,<dijadwal> + -kan,bentukan,[29] [S] -kan + (<all>),
27037.4,x,,<dijadwalk> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27038,v,765,dijaga,dasar,,
27038.1,v,,di- + <jaga>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27039,v,11,dijaganya,dasar,,
27039.1,x,,di- + <jaganya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27039.2,x,,<dijaga> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27039.3,v,,di- + <jaga> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
,,,,,,
27040,v,33,dijagokan,dasar,,
27040.1,v,,di- + <jago> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
27040.2,x,,di- + <jagokan>,bentukan,[37] di- + (<all>) + (-i;-kan),
27040.3,x,,<dijago> + -kan,bentukan,[29] [S] -kan + (<all>),
27040.4,x,,<dijagok> + -an,bentukan,[38] [S] -an + (<all>),
,,,,,,
27041,v,2,dijagokannya,dasar,,
27041.1,x,,di- + <jagokannya>,bentukan,[37] di- + (<all>) + (-i;-kan),
27041.2,x,,<dijagokan> + -nya,bentukan,[34] [SFS] -nya + (<all>),
27041.3,v,,di- + <jago> + -kan + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27041.4,x,,di- + <jagokan> + -nya,bentukan,[37] di- + (<all>) + (-i;-kan) => [34] [SFS] -nya + (<all>),
27041.5,x,,<dijago> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),
27041.6,x,,<dijagok> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),
,,,,,,
27042,v,4,dijahili,dasar,,
27042.1,v,,di- + <jahil> + -i,bentukan,[37] di- + (<all>) + (-i;-kan),
27042.2,x,,di- + <jahili>,bentukan,[37] di- + (<all>) + (-i;-kan),
27042.3,x,,<dijahil> + -i,bentukan,[28] [S] -i + (<all>),
,,,,,,
27043,v,58,dijahit,dasar,,
27043.1,v,,di- + <jahit>,bentukan,[37] di- + (<all>) + (-i;-kan),
,,,,,,
27044,v,5,dijahitkan,dasar,,
27044.1,v,,di- + <jahit> + -kan,bentukan,[37] di- + (<all>) + (-i;-kan),
