Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,
,,,,,,,,,
124626,k,251,teramat,dasar,,,,,
124626.1,x,,[ter-:te-] + <ramat>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124626.2,v,,ter- + <amat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124627,v,65,teramati,dasar,,,,,
124627.1,x,,[ter-:te-] + <ramat> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124627.2,x,,[ter-:te-] + <ramati>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124627.3,v,,ter- + <amat> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124627.4,x,,ter- + <amati>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124627.5,x,,<teramat> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124628,k,0,terambah,dasar,,,,,
124628.1,v,,[ter-:te-] + <rambah>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124628.2,x,,ter- + <ambah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124629,k,0,terambang,dasar,,,,,
124629.1,x,,[ter-:te-] + <rambang>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124629.2,v,,ter- + <ambang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124630,k,0,terambang-ambang,dasar,,,,,
124630.1,v,,ter- + <ambang> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|,,,,
,,,,,,,,,
124631,k,0,terambau,dasar,,,,,
124631.1,x,,[ter-:te-] + <rambau>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124631.2,v,,ter- + <ambau>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124632,k,22,terambil,dasar,,,,,
124632.1,x,,[ter-:te-] + <rambil>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124632.2,v,,ter- + <ambil>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124633,k,0,terambu,dasar,,,,,
124633.1,v,,[ter-:te-] + <rambu>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124633.2,x,,ter- + <ambu>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124634,k,0,terambung-ambung,dasar,,,,,
124634.1,v,,ter- + <ambung> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|,,,,
,,,,,,,,,
124635,k,0,teramisin,dasar,,,,,
124635.1,x,,[ter-:te-] + <ramisin>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124635.2,x,,ter- + <amisin>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124636,k,0,terampai,dasar,,,,,
124636.1,x,,[ter-:te-] + <rampa> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124636.2,x,,[ter-:te-] + <rampai>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124636.3,x,,ter- + <ampa> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124636.4,v,,ter- + <ampai>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124636.5,x,,<terampa> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124637,k,0,terampai jemur,dasar,,,,,
124637.1,x,,[ter-:te-] + <rampai jemur>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124637.2,x,,ter- + <ampai jemur>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124638,k,20,terampas,dasar,,,,,
124638.1,v,,[ter-:te-] + <rampas>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124638.2,x,,ter- + <ampas>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124639,v,3,terampasnya,dasar,,,,,
124639.1,x,,[ter-:te-] + <rampasnya>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124639.2,x,,ter- + <ampasnya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124639.3,x,,<terampas> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,
124639.4,x,,[ter-:te-] + <rampas> + -nya,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [34] [SFS] -nya + (<all>),,,,
124639.5,v,,ter- + <ampas> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>),,,,
,,,,,,,,,
124640,k,346,terampil,dasar,,,,,
124640.1,x,,[ter-:te-] + <rampil>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124640.2,x,,ter- + <ampil>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124641,k,0,teramping,dasar,,,,,
124641.1,v,,[ter-:te-] + <ramping>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124641.2,x,,ter- + <amping>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124642,v,10,teramplifikasi,dasar,,,,,
124642.1,x,,[ter-:te-] + <ramplifikas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124642.2,x,,[ter-:te-] + <ramplifikasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124642.3,x,,ter- + <amplifikas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124642.4,v,,ter- + <amplifikasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124642.5,x,,<teramplifikas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124643,k,0,terampok,dasar,,,,,
124643.1,v,,[ter-:te-] + <rampok>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124643.2,x,,ter- + <ampok>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124644,v,2,terampuh,dasar,,,,,
124644.1,x,,[ter-:te-] + <rampuh>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124644.2,v,,ter- + <ampuh>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124645,k,0,terampungkan,dasar,,,,,
124645.1,v,,[ter-:te-] + <rampung> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124645.2,x,,[ter-:te-] + <rampungk> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124645.3,x,,[ter-:te-] + <rampungkan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124645.4,x,,ter- + <ampung> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124645.5,x,,ter- + <ampungk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124645.6,x,,ter- + <ampungkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124645.7,x,,<terampung> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124645.8,x,,<terampungk> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124646,k,6,terampuni,dasar,,,,,
124646.1,x,,[ter-:te-] + <rampun> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124646.2,x,,[ter-:te-] + <rampuni>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124646.3,v,,ter- + <ampun> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124646.4,x,,ter- + <ampuni>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124646.5,x,,<terampun> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124647,v,2,terampunkan,dasar,,,,,
124647.1,x,,[ter-:te-] + <rampun> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124647.2,x,,[ter-:te-] + <rampunk> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124647.3,x,,[ter-:te-] + <rampunkan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124647.4,v,,ter- + <ampun> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124647.5,x,,ter- + <ampunk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124647.6,x,,ter- + <ampunkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124647.7,x,,<terampun> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124647.8,x,,<terampunk> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124648,k,0,teramputasi,dasar,,,,,
124648.1,x,,[ter-:te-] + <ramputas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124648.2,x,,[ter-:te-] + <ramputasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124648.3,x,,ter- + <amputas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124648.4,v,,ter- + <amputasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124648.5,x,,<teramputas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124649,k,0,teramung,dasar,,,,,
124649.1,x,,[ter-:te-] + <ramung>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124649.2,v,,ter- + <amung>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124650,k,0,teran,dasar,,,,,
124650.1,x,,[ter-:te-] + <r> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124650.2,x,,[ter-:te-] + <ran>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124650.3,x,,ter- + <an>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124650.4,x,,<ter> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124651,k,0,teranalisis,dasar,,,,,
124651.1,x,,[ter-:te-] + <ranalisis>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124651.2,v,,ter- + <analisis>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124651.3,x,,<teranalisi> + [-is:-s],bentukan,[177] [S] -is + (i),,,,
124651.4,x,,<teranalis> + -is,bentukan,[178] [S] -is + (<others>),,,,
,,,,,,,,,
124652,k,0,teranas,dasar,,,,,
124652.1,x,,[ter-:te-] + <ranas>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124652.2,x,,ter- + <anas>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124653,k,775,terancam,dasar,,,,,
124653.1,x,,[ter-:te-] + <rancam>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124653.2,v,,ter- + <ancam>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124654,x,2,terancang,dasar,,,,,
124654.1,x,,[ter-:te-] + <rancang>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124654.2,x,,ter- + <ancang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124655,k,0,terancu,dasar,,,,,
124655.1,v,,[ter-:te-] + <rancu>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124655.2,x,,ter- + <ancu>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124656,k,0,terandal,dasar,,,,,
124656.1,x,,[ter-:te-] + <randal>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124656.2,v,,ter- + <andal>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124657,k,0,terandalkan,dasar,,,,,
124657.1,x,,[ter-:te-] + <randal> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124657.2,x,,[ter-:te-] + <randalk> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124657.3,x,,[ter-:te-] + <randalkan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124657.4,v,,ter- + <andal> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124657.5,x,,ter- + <andalk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124657.6,x,,ter- + <andalkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124657.7,x,,<terandal> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124657.8,x,,<terandalk> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124658,k,0,terandam,dasar,,,,,
124658.1,x,,[ter-:te-] + <randam>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124658.2,v,,ter- + <andam>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124659,k,0,teranduh,dasar,,,,,
124659.1,x,,[ter-:te-] + <randuh>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124659.2,v,,ter- + <anduh>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124660,k,6,teraneh,dasar,,,,,
124660.1,x,,[ter-:te-] + <raneh>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124660.2,v,,ter- + <aneh>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124661,k,1692,terang,dasar,,,,,
124661.1,x,,[ter-:te-] + <rang>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124661.2,x,,ter- + <ang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124662,k,0,terang akal,dasar,,,,,
124662.1,x,,[ter-:te-] + <rang akal>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124662.2,x,,ter- + <ang akal>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124663,k,0,terang benderang,dasar,,,,,
124663.1,x,,[ter-:te-] + <rang benderang>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124663.2,x,,ter- + <ang benderang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124664,k,0,terang bulan,dasar,,,,,
124664.1,x,,[ter-:te-] + <rang bul> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124664.2,x,,[ter-:te-] + <rang bulan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124664.3,x,,ter- + <ang bul> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124664.4,x,,ter- + <ang bulan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124664.5,x,,<terang bul> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124665,k,0,terang cuaca,dasar,,,,,
124665.1,x,,[ter-:te-] + <rang cuaca>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124665.2,x,,ter- + <ang cuaca>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124666,k,0,terang hati,dasar,,,,,
124666.1,x,,[ter-:te-] + <rang hat> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124666.2,x,,[ter-:te-] + <rang hati>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124666.3,x,,ter- + <ang hat> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124666.4,x,,ter- + <ang hati>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124666.5,x,,<terang hat> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124667,k,0,terang jelas,dasar,,,,,
124667.1,x,,[ter-:te-] + <rang jelas>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124667.2,x,,ter- + <ang jelas>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124668,k,0,terang kain,dasar,,,,,
124668.1,x,,[ter-:te-] + <rang kain>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124668.2,x,,ter- + <ang kain>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124669,k,0,terang pikiran,dasar,,,,,
124669.1,x,,[ter-:te-] + <rang pikir> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124669.2,x,,[ter-:te-] + <rang pikiran>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124669.3,x,,ter- + <ang pikir> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124669.4,x,,ter- + <ang pikiran>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124669.5,x,,<terang pikir> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124670,k,0,terang tanah,dasar,,,,,
124670.1,x,,[ter-:te-] + <rang tanah>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124670.2,x,,ter- + <ang tanah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124671,k,0,terang temara,dasar,,,,,
124671.1,x,,[ter-:te-] + <rang temara>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124671.2,x,,ter- + <ang temara>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124672,k,0,terang temarang (terang temerang),dasar,,,,,
124672.1,x,,[ter-:te-] + <rang temarang (terang temerang)>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124672.2,x,,ter- + <ang temarang (terang temerang)>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124673,k,0,terang terbang lalat,dasar,,,,,
124673.1,x,,[ter-:te-] + <rang terbang lalat>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124673.2,x,,ter- + <ang terbang lalat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124674,k,0,terang terus,dasar,,,,,
124674.1,x,,[ter-:te-] + <rang terus>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124674.2,x,,ter- + <ang terus>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124675,k,10,terang-terang,dasar,,,,,
124675.1,v,,<terang> [-] <r>,bentukan,[23] [RD] |,,,,
124675.2,x,,[ter-:te-] + <rang> [-] [ter-:te-] + <r>,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [23] [RD] |,,,,
124675.3,x,,ter- + <ang> [-] ter- + <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [23] [RD] |,,,,
,,,,,,,,,
124676,k,0,terang-terang laras,dasar,,,,,
,,,,,,,,,
124677,k,251,terang-terangan,dasar,,,,,
124677.1,v,,<terang> [-] <r> + -an,bentukan,[23] [RD] |,,,,
124677.2,x,,[ter-:te-] + <rang> [-] [ter-:te-] + <r> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [23] [RD] |,,,,ran
124677.3,x,,ter- + <ang> [-] ter- + <r> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [23] [RD] |,,,,
,,,,,,,,,
124678,k,0,terangah,dasar,,,,,
124678.1,x,,[ter-:te-] + <rangah>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124678.2,v,,ter- + <angah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124679,k,0,terangan-angan,dasar,,,,,
124679.1,x,,ter- + <ang> [-] <r> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|,,,,
124679.2,v,,ter- + <angan> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|,,,,
,,,,,,,,,
124680,k,0,teranggar-anggar,dasar,,,,,
124680.1,v,,ter- + <anggar> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|,,,,
,,,,,,,,,
124681,k,4,teranggarkan,dasar,,,,,
124681.1,x,,[ter-:te-] + <ranggar> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124681.2,x,,[ter-:te-] + <ranggark> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124681.3,x,,[ter-:te-] + <ranggarkan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124681.4,v,,ter- + <anggar> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124681.5,x,,ter- + <anggark> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124681.6,x,,ter- + <anggarkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124681.7,x,,<teranggar> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124681.8,x,,<teranggark> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124682,k,6,terangguk-angguk,dasar,,,,,
124682.1,v,,ter- + <angguk> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|,,,,
,,,,,,,,,
124683,k,0,teranggul-anggul,dasar,,,,,
124683.1,v,,ter- + <anggul> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|,,,,
,,,,,,,,,
124684,k,0,teranggun,dasar,,,,,
124684.1,x,,[ter-:te-] + <ranggun>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124684.2,v,,ter- + <anggun>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124685,v,5,terangi,dasar,,,,,
124685.1,x,,[ter-:te-] + <rang> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124685.2,x,,[ter-:te-] + <rangi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124685.3,x,,ter- + <ang> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124685.4,x,,ter- + <angi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124685.5,v,,<terang> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124686,k,2,terangin,dasar,,,,,
124686.1,x,,[ter-:te-] + <rangin>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124686.2,v,,ter- + <angin>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124687,k,0,terangin-angin,dasar,,,,,
124687.1,v,,ter- + <angin> [-] <r>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [49] [RD] ter-|,,,,
,,,,,,,,,
124688,k,24,terangkai,dasar,,,,,
124688.1,x,,[ter-:te-] + <rangka> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124688.2,v,,[ter-:te-] + <rangkai>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124688.3,x,,ter- + <angka> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124688.4,x,,ter- + <angkai>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124688.5,x,,<terangka> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124689,v,30,terangkan,dasar,,,,,
124689.1,x,,[ter-:te-] + <rang> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124689.2,x,,[ter-:te-] + <rangk> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124689.3,x,,[ter-:te-] + <rangkan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124689.4,x,,ter- + <ang> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124689.5,x,,ter- + <angk> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124689.6,x,,ter- + <angkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124689.7,v,,<terang> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124689.8,x,,<terangk> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124690,v,4,terangkanlah,dasar,,,,,
124690.1,x,,[ter-:te-] + <rangkanlah>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124690.2,x,,ter- + <angkanlah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124690.3,x,,<terangkan> + -lah,bentukan,[31] [FS] -lah + (<all>),,,,
124690.4,x,,[ter-:te-] + <rang> + -kan + -lah,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [31] [FS] -lah + (<all>),,,,
124690.5,x,,[ter-:te-] + <rangk> + -an + -lah,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [31] [FS] -lah + (<all>),,,,
124690.6,x,,[ter-:te-] + <rangkan> + -lah,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [31] [FS] -lah + (<all>),,,,
124690.7,x,,ter- + <ang> + -kan + -lah,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [31] [FS] -lah + (<all>),,,,
124690.8,x,,ter- + <angk> + -an + -lah,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [31] [FS] -lah + (<all>),,,,
124690.9,x,,ter- + <angkan> + -lah,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [31] [FS] -lah + (<all>),,,,
124690.1,v,,<terang> + -kan + -lah,bentukan,[29] [S] -kan + (<all>) => [31] [FS] -lah + (<all>),,,,
124690.11,x,,<terangk> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>),,,,
,,,,,,,,,
124691,k,195,terangkat,dasar,,,,,
124691.1,x,,[ter-:te-] + <rangkat>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124691.2,v,,ter- + <angkat>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124692,k,0,terangkat kening,dasar,,,,,
124692.1,x,,[ter-:te-] + <rangkat kening>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124692.2,x,,ter- + <angkat kening>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124693,v,3,terangkatlah,dasar,,,,,
124693.1,x,,[ter-:te-] + <rangkatlah>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124693.2,x,,ter- + <angkatlah>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124693.3,x,,<terangkat> + -lah,bentukan,[31] [FS] -lah + (<all>),,,,
124693.4,x,,[ter-:te-] + <rangkat> + -lah,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [31] [FS] -lah + (<all>),,,,
124693.5,v,,ter- + <angkat> + -lah,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [31] [FS] -lah + (<all>),,,,
,,,,,,,,,
124694,v,3,terangkatnya,dasar,,,,,
124694.1,x,,[ter-:te-] + <rangkatnya>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124694.2,x,,ter- + <angkatnya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124694.3,x,,<terangkat> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,
124694.4,x,,[ter-:te-] + <rangkat> + -nya,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [34] [SFS] -nya + (<all>),,,,
124694.5,v,,ter- + <angkat> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>),,,,
,,,,,,,,,
124695,k,0,terangker,dasar,,,,,
124695.1,x,,[ter-:te-] + <rangker>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
