Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,
124539.3,x,,ter- + <administras> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124539.4,v,,ter- + <administrasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124539.5,x,,<teradministras> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124540,v,2,teradministrasikan,dasar,,,,,
124540.1,x,,[ter-:te-] + <radministrasi> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124540.2,x,,[ter-:te-] + <radministrasik> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124540.3,x,,[ter-:te-] + <radministrasikan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124540.4,v,,ter- + <administrasi> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124540.5,x,,ter- + <administrasik> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124540.6,x,,ter- + <administrasikan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124540.7,x,,<teradministrasi> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124540.8,x,,<teradministrasik> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124541,k,0,teradopsi,dasar,,,,,
124541.1,x,,[ter-:te-] + <radops> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124541.2,x,,[ter-:te-] + <radopsi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124541.3,x,,ter- + <adops> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124541.4,v,,ter- + <adopsi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124541.5,x,,<teradops> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124542,k,11,teradsorpsi,dasar,,,,,
124542.1,x,,[ter-:te-] + <radsorps> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124542.2,x,,[ter-:te-] + <radsorpsi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124542.3,x,,ter- + <adsorps> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124542.4,v,,ter- + <adsorpsi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124542.5,x,,<teradsorps> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124543,k,9,teradu,dasar,,,,,
124543.1,x,,[ter-:te-] + <radu>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124543.2,v,,ter- + <adu>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124544,k,0,teradu domba,dasar,,,,,
124544.1,x,,[ter-:te-] + <radu domba>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124544.2,x,,ter- + <adu domba>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124545,k,0,teraduh,dasar,,,,,
124545.1,x,,[ter-:te-] + <raduh>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124545.2,v,,ter- + <aduh>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124546,k,7,teraduk,dasar,,,,,
124546.1,x,,[ter-:te-] + <raduk>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124546.2,v,,ter- + <aduk>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124547,v,7,teraduk-aduk,dasar,,,,,
