Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,,,,
122045,k,0,tangan panas,dasar,,,,,,,,
,,,,,,,,,,,,
122046,k,0,tangan terbuka,dasar,,,,,,,,
,,,,,,,,,,,,
122047,k,0,tangan turun,dasar,,,,,,,,
,,,,,,,,,,,,
122048,k,0,tangan-menangan,dasar,,,,,,,,
122048.1,v,,<tangan> [-] [meng-:me-] + <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [24] [RD] |meng-,,,,,,,
,,,,,,,,,,,,
122049,k,98,tangan-tangan,dasar,,,,,,,,
122049.1,v,,<tangan> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122049.2,x,,<tang> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122050,k,0,tangan-tangan siluman,dasar,,,,,,,,
122050.1,x,,<tangan-tangan silum> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122051,v,2,tangan-tangannya,dasar,,,,,,,,
122051.1,x,,<tangan> [-] <r> + -nya,bentukan,[23] [RD] |,,,,,,,
122051.2,x,,<tang> + -an [-] <r> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,,,,,,
122051.3,v,,<tangan> [-] <r> + -nya,bentukan,[23] [RD] | => [34] [SFS] -nya + (<all>),,,,,,,
122051.4,x,,<tang> + -an [-] <r> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [23] [RD] | => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122052,k,9,tanganan,dasar,,,,,,,,
122052.1,v,,<tangan> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122053,v,284,tanganku,dasar,,,,,,,,
122053.1,v,,<tangan> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
122053.2,x,,<tang> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122054,v,2,tanganlah,dasar,,,,,,,,
122054.1,v,,<tangan> + -lah,bentukan,[31] [FS] -lah + (<all>),,,,,,,
122054.2,x,,<tang> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>),,,,,,,
,,,,,,,,,,,,
122055,v,106,tanganmu,dasar,,,,,,,,
122055.1,v,,<tangan> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
122055.2,x,,<tang> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122056,v,1021,tangannya,dasar,,,,,,,,
122056.1,v,,<tangan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122056.2,x,,<tang> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122057,k,0,tangap,dasar,,,,,,,,
,,,,,,,,,,,,
122058,k,0,tangar,dasar,,,,,,,,
,,,,,,,,,,,,
122059,k,0,tangas,dasar,,,,,,,,
,,,,,,,,,,,,
122060,k,0,tangeh,dasar,,,,,,,,
,,,,,,,,,,,,
122061,k,0,tangen,dasar,,,,,,,,
,,,,,,,,,,,,
122062,k,745,tangerang,dasar,,,,,,,,
,,,,,,,,,,,,
122063,k,0,tangerang selatan,dasar,,,,,,,,
122063.1,x,,<tangerang selat> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122064,k,2093,tangga,dasar,,,,,,,,
,,,,,,,,,,,,
122065,k,0,tangga berjalan,dasar,,,,,,,,
122065.1,x,,<tangga berjal> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122066,k,0,tangga beroda,dasar,,,,,,,,
,,,,,,,,,,,,
122067,k,0,tangga geser,dasar,,,,,,,,
,,,,,,,,,,,,
122068,k,0,tangga jenjang,dasar,,,,,,,,
,,,,,,,,,,,,
122069,k,0,tangga karier,dasar,,,,,,,,
,,,,,,,,,,,,
122070,k,0,tangga lagu,dasar,,,,,,,,
,,,,,,,,,,,,
122071,k,0,tangga lipat,dasar,,,,,,,,
,,,,,,,,,,,,
122072,k,0,tangga monyet,dasar,,,,,,,,
,,,,,,,,,,,,
122073,k,0,tangga nada,dasar,,,,,,,,
,,,,,,,,,,,,
122074,k,0,tangga nada mayor,dasar,,,,,,,,
,,,,,,,,,,,,
122075,k,0,tangga pandu,dasar,,,,,,,,
,,,,,,,,,,,,
122076,k,0,tangga picak,dasar,,,,,,,,
,,,,,,,,,,,,
122077,k,0,tangga pilin,dasar,,,,,,,,
,,,,,,,,,,,,
122078,k,0,tangga sambung,dasar,,,,,,,,
,,,,,,,,,,,,
122079,k,0,tangga sigai,dasar,,,,,,,,
122079.1,x,,<tangga siga> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122080,k,0,tangga sokong,dasar,,,,,,,,
,,,,,,,,,,,,
122081,k,0,tangga sosial,dasar,,,,,,,,
,,,,,,,,,,,,
122082,k,0,tangga spiral,dasar,,,,,,,,
,,,,,,,,,,,,
122083,k,0,tangga tali,dasar,,,,,,,,
122083.1,x,,<tangga tal> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122084,k,0,tangga teras,dasar,,,,,,,,
,,,,,,,,,,,,
122085,k,0,tangga ulir,dasar,,,,,,,,
,,,,,,,,,,,,
122086,k,0,tangga universal,dasar,,,,,,,,
,,,,,,,,,,,,
