Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,,,,
122307.1,v,,<tanya> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122308,v,269,tanyakan,dasar,,,,,,,,
122308.1,v,,<tanya> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122308.2,x,,<tanyak> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122309,v,14,tanyakanlah,dasar,,,,,,,,
122309.1,x,,<tanyakan> + -lah,bentukan,[31] [FS] -lah + (<all>),,,,,,,
122309.2,v,,<tanya> + -kan + -lah,bentukan,[29] [S] -kan + (<all>) => [31] [FS] -lah + (<all>),,,,,,,
122309.3,x,,<tanyak> + -an + -lah,bentukan,[38] [S] -an + (<all>) => [31] [FS] -lah + (<all>),,,,,,,
,,,,,,,,,,,,
122310,v,223,tanyaku,dasar,,,,,,,,
122310.1,v,,<tanya> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
122310.2,x,,<ta> + -nya + -ku,bentukan,[34] [SFS] -nya + (<all>) => [32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122311,v,14,tanyalah,dasar,,,,,,,,
122311.1,v,,<tanya> + -lah,bentukan,[31] [FS] -lah + (<all>),,,,,,,
122311.2,x,,<ta> + -nya + -lah,bentukan,[34] [SFS] -nya + (<all>) => [31] [FS] -lah + (<all>),,,,,,,
,,,,,,,,,,,,
122312,v,33,tanyamu,dasar,,,,,,,,
122312.1,v,,<tanya> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
122312.2,x,,<ta> + -nya + -mu,bentukan,[34] [SFS] -nya + (<all>) => [33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122313,v,198,tanyanya,dasar,,,,,,,,
122313.1,v,,<tanya> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122313.2,x,,<ta> + -nya + -nya,bentukan,[34] [SFS] -nya + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122314,k,28,tanzania,dasar,,,,,,,,
,,,,,,,,,,,,
122315,k,0,tanzih,dasar,,,,,,,,
,,,,,,,,,,,,
122316,k,4,tanzil,dasar,,,,,,,,
,,,,,,,,,,,,
122317,k,28,tao,dasar,,,,,,,,
,,,,,,,,,,,,
122318,k,0,taocang,dasar,,,,,,,,
,,,,,,,,,,,,
122319,k,0,taoci,dasar,,,,,,,,
122319.1,x,,<taoc> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122320,k,2,taoco,dasar,,,,,,,,
,,,,,,,,,,,,
122321,k,0,taoge,dasar,,,,,,,,
,,,,,,,,,,,,
122322,k,0,taoge goreng,dasar,,,,,,,,
,,,,,,,,,,,,
122323,k,0,taoisme,dasar,,,,,,,,
122323.1,v,,<tao> + -isme,bentukan,[89] [S] -isme + (<all>),,,,,,,
,,,,,,,,,,,,
122324,k,0,taoke,dasar,,,,,,,,
,,,,,,,,,,,,
122325,k,0,taori,dasar,,,,,,,,
122325.1,x,,<taor> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122326,k,0,taosi,dasar,,,,,,,,
122326.1,x,,<taos> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122327,k,72,tap,dasar,,,,,,,,
,,,,,,,,,,,,
122328,c,24,tapa,dasar,tempa,,,,,,,
,,,,,,,,,,,,
122329,k,0,tapa biala,dasar,,,,,,,,
,,,,,,,,,,,,
122330,k,0,tapa brata,dasar,,,,,,,,
,,,,,,,,,,,,
122331,k,0,tapa pendem,dasar,,,,,,,,
,,,,,,,,,,,,
122332,k,0,tapa rawang,dasar,,,,,,,,
,,,,,,,,,,,,
122333,k,0,tapa-tapa,dasar,,,,,,,,
122333.1,v,,<tapa> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122334,k,5,tapah,dasar,,,,,,,,
,,,,,,,,,,,,
122335,k,6,tapai,dasar,,,,,,,,
122335.1,x,,<tapa> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122336,k,0,tapai ketan,dasar,,,,,,,,
122336.1,x,,<tapai ket> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122337,k,0,tapai singkong,dasar,,,,,,,,
,,,,,,,,,,,,
122338,k,0,tapai uli,dasar,,,,,,,,
122338.1,x,,<tapai ul> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122339,k,0,tapaian,dasar,,,,,,,,
122339.1,x,,<tapai> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122340,k,179,tapak,dasar,,,,,,,,
,,,,,,,,,,,,
122341,k,0,tapak besi,dasar,,,,,,,,
122341.1,x,,<tapak bes> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122342,k,0,tapak burung,dasar,,,,,,,,
,,,,,,,,,,,,
122343,k,0,tapak canai,dasar,,,,,,,,
122343.1,x,,<tapak cana> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122344,k,0,tapak cangkir,dasar,,,,,,,,
,,,,,,,,,,,,
122345,k,0,tapak catur,dasar,,,,,,,,
,,,,,,,,,,,,
122346,k,0,tapak dara,dasar,,,,,,,,
,,,,,,,,,,,,
122347,k,0,tapak gajah,dasar,,,,,,,,
,,,,,,,,,,,,
122348,k,0,tapak kaki,dasar,,,,,,,,
122348.1,x,,<tapak kak> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122349,k,0,tapak kasut,dasar,,,,,,,,
,,,,,,,,,,,,
122350,k,0,tapak kuda,dasar,,,,,,,,
,,,,,,,,,,,,
122351,k,0,tapak kuku,dasar,,,,,,,,
122351.1,x,,<tapak ku> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
122351.2,x,,<tapak > + -ku + -ku,bentukan,[32] [SFS] -ku + (<all>) => [32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122352,k,0,tapak lawang,dasar,,,,,,,,
,,,,,,,,,,,,
122353,k,0,tapak leper,dasar,,,,,,,,
,,,,,,,,,,,,
122354,k,0,tapak liman,dasar,,,,,,,,
122354.1,x,,<tapak lim> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122355,k,0,tapak perkemahan,dasar,,,,,,,,
122355.1,x,,<tapak perkemah> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122356,k,0,tapak rumah,dasar,,,,,,,,
,,,,,,,,,,,,
122357,k,0,tapak sepatu,dasar,,,,,,,,
,,,,,,,,,,,,
122358,k,0,tapak tangan,dasar,,,,,,,,
122358.1,x,,<tapak tang> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122359,k,0,tapak tilas,dasar,,,,,,,,
,,,,,,,,,,,,
122360,k,0,tapak tukul,dasar,,,,,,,,
,,,,,,,,,,,,
122361,k,3,tapak-tapak,dasar,,,,,,,,
122361.1,v,,<tapak> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122362,k,5,tapakan,dasar,,,,,,,,
122362.1,x,,<tapa> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122362.2,v,,<tapak> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122363,v,4,tapaki,dasar,,,,,,,,
122363.1,v,,<tapak> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122364,v,7,tapaknya,dasar,,,,,,,,
122364.1,v,,<tapak> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122365,k,51,tapal,dasar,,,,,,,,
,,,,,,,,,,,,
122366,k,0,tapal batas,dasar,,,,,,,,
,,,,,,,,,,,,
122367,k,0,tapal gigi,dasar,,,,,,,,
122367.1,x,,<tapal gig> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122368,k,0,tapal kuda,dasar,,,,,,,,
,,,,,,,,,,,,
122369,k,0,tapang,dasar,,,,,,,,
,,,,,,,,,,,,
122370,k,0,tapanuli selatan,dasar,,,,,,,,
122370.1,x,,<tapanuli selat> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122371,k,0,tapanuli tengah,dasar,,,,,,,,
,,,,,,,,,,,,
122372,k,0,tapanuli utara,dasar,,,,,,,,
,,,,,,,,,,,,
122373,v,2,tapanya,dasar,,,,,,,,
122373.1,v,,<tapa> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122374,k,0,taparu,dasar,,,,,,,,
,,,,,,,,,,,,
122375,k,0,tapas,dasar,,,,,,,,
,,,,,,,,,,,,
122376,c,87,tape,dasar,tapai,,,,,,,
,,,,,,,,,,,,
122377,k,0,tapektum lusidum,dasar,,,,,,,,
,,,,,,,,,,,,
122378,k,0,tapestri,dasar,,,,,,,,
122378.1,x,,<tapestr> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122379,c,10739,tapi,dasar,tetapi,,,,,,,
122379.1,x,,<tap> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122380,k,5,tapih,dasar,,,,,,,,
,,,,,,,,,,,,
122381,k,33,tapin,dasar,,,,,,,,
,,,,,,,,,,,,
122382,k,0,tapinofobia,dasar,,,,,,,,
122382.1,x,,<tapino> + -fobia,bentukan,[107] [S] -fobia + (<all>),,,,,,,
,,,,,,,,,,,,
122383,k,39,tapioka,dasar,,,,,,,,
,,,,,,,,,,,,
122384,k,14,tapir,dasar,,,,,,,,
,,,,,,,,,,,,
122385,k,0,tapiro,dasar,,,,,,,,
,,,,,,,,,,,,
122386,k,20,tapis,dasar,,,,,,,,
122386.1,x,,<tapi> + [-is:-s],bentukan,[177] [S] -is + (i),,,,,,,
122386.2,x,,<tap> + -is,bentukan,[178] [S] -is + (<others>),,,,,,,
,,,,,,,,,,,,
122387,k,0,tapis udara,dasar,,,,,,,,
,,,,,,,,,,,,
122388,k,2,tapisan,dasar,,,,,,,,
122388.1,v,,<tapis> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122389,k,35,taplak,dasar,,,,,,,,
,,,,,,,,,,,,
122390,k,0,taprofit,dasar,,,,,,,,
,,,,,,,,,,,,
122391,k,0,taptibau,dasar,,,,,,,,
,,,,,,,,,,,,
122392,k,0,taptu,dasar,,,,,,,,
,,,,,,,,,,,,
122393,k,0,tapui,dasar,,,,,,,,
122393.1,x,,<tapu> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122394,c,8,tapuk,dasar,tepuk,,,,,,,
,,,,,,,,,,,,
122395,c,5,tapung,dasar,tepung,,,,,,,
,,,,,,,,,,,,
122396,k,0,tapus,dasar,,,,,,,,
,,,,,,,,,,,,
122397,k,0,taqwa,dasar,,,,,,,,
,,,,,,,,,,,,
122398,c,55,tar,dasar,tir,,,,,,,
,,,,,,,,,,,,
122399,k,111,tara,dasar,,,,,,,,
,,,,,,,,,,,,
122400,k,0,tara air salju,dasar,,,,,,,,
,,,,,,,,,,,,
122401,k,0,tara lengas,dasar,,,,,,,,
,,,,,,,,,,,,
122402,k,563,taraf,dasar,,,,,,,,
,,,,,,,,,,,,
122403,k,0,taraf kematangan,dasar,,,,,,,,
122403.1,x,,<taraf kematang> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122404,k,0,taraf prestasi,dasar,,,,,,,,
122404.1,x,,<taraf prestas> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122405,v,2,taraf-taraf,dasar,,,,,,,,
122405.1,v,,<taraf> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122406,k,0,taragon,dasar,,,,,,,,
,,,,,,,,,,,,
122407,k,3,tarah,dasar,,,,,,,,
,,,,,,,,,,,,
122408,k,0,tarah kasau,dasar,,,,,,,,
,,,,,,,,,,,,
122409,k,6,tarahan,dasar,,,,,,,,
122409.1,x,,<tarah> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122410,k,0,tarak,dasar,,,,,,,,
,,,,,,,,,,,,
122411,k,73,tarakan,dasar,,,,,,,,
122411.1,x,,<tara> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122411.2,x,,<tarak> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122412,k,0,taraki,dasar,,,,,,,,
122412.1,x,,<tarak> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122413,k,0,taraksasin,dasar,,,,,,,,
,,,,,,,,,,,,
122414,k,0,taram,dasar,,,,,,,,
,,,,,,,,,,,,
122415,k,0,taram temaram,dasar,,,,,,,,
,,,,,,,,,,,,
122416,k,8,taran,dasar,,,,,,,,
122416.1,x,,<tar> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122417,k,2,tarang,dasar,,,,,,,,
,,,,,,,,,,,,
122418,k,0,tarangbaga,dasar,,,,,,,,
,,,,,,,,,,,,
122419,k,0,tarantisme,dasar,,,,,,,,
122419.1,x,,<tarant> + -isme,bentukan,[89] [S] -isme + (<all>),,,,,,,
,,,,,,,,,,,,
122420,k,0,tarantula,dasar,,,,,,,,
,,,,,,,,,,,,
122421,k,0,tarantung,dasar,,,,,,,,
,,,,,,,,,,,,
122422,k,3,tarap,dasar,,,,,,,,
,,,,,,,,,,,,
122423,k,0,tarapu,dasar,,,,,,,,
,,,,,,,,,,,,
122424,c,3,taras,dasar,teras,,,,,,,
,,,,,,,,,,,,
122425,k,0,tarasul,dasar,,,,,,,,
,,,,,,,,,,,,
122426,k,8,tarawangsa,dasar,,,,,,,,
,,,,,,,,,,,,
122427,k,71,tarawih,dasar,,,,,,,,
,,,,,,,,,,,,
122428,k,2,tarbiah,dasar,,,,,,,,
122428.1,x,,<tarb> + -iah,bentukan,[175] [S] -iah + (<others>),,,,,,,
,,,,,,,,,,,,
122429,k,0,tarbil,dasar,,,,,,,,
,,,,,,,,,,,,
122430,k,2,tarbus,dasar,,,,,,,,
,,,,,,,,,,,,
122431,k,2,tarcis,dasar,,,,,,,,
122431.1,x,,<tarci> + [-is:-s],bentukan,[177] [S] -is + (i),,,,,,,
122431.2,x,,<tarc> + -is,bentukan,[178] [S] -is + (<others>),,,,,,,
,,,,,,,,,,,,
122432,k,35,tarekat,dasar,,,,,,,,
,,,,,,,,,,,,
122433,v,2,tarekat-tarekat,dasar,,,,,,,,
122433.1,v,,<tarekat> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122434,v,3,tarekatnya,dasar,,,,,,,,
122434.1,v,,<tarekat> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122435,k,0,tarengke,dasar,,,,,,,,
,,,,,,,,,,,,
122436,k,0,tarfia,dasar,,,,,,,,
,,,,,,,,,,,,
122437,k,2867,target,dasar,,,,,,,,
,,,,,,,,,,,,
122438,k,0,target kekerasan,dasar,,,,,,,,
122438.1,x,,<target kekeras> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122439,v,84,target-target,dasar,,,,,,,,
122439.1,v,,<target> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122440,v,8,target-targetnya,dasar,,,,,,,,
122440.1,x,,<target> [-] <r> + -nya,bentukan,[23] [RD] |,,,,,,,
122440.2,v,,<target> [-] <r> + -nya,bentukan,[23] [RD] | => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122441,v,95,targetkan,dasar,,,,,,,,
122441.1,v,,<target> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122441.2,x,,<targetk> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122442,v,243,targetnya,dasar,,,,,,,,
122442.1,v,,<target> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122443,k,0,tarhib,dasar,,,,,,,,
,,,,,,,,,,,,
122444,k,0,tarhib ramadan,dasar,,,,,,,,
122444.1,x,,<tarhib ramad> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122445,k,4,tarhim,dasar,,,,,,,,
,,,,,,,,,,,,
122446,k,355,tari,dasar,,,,,,,,
122446.1,x,,<tar> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122447,k,0,tari bedaya,dasar,,,,,,,,
,,,,,,,,,,,,
122448,k,0,tari bedaya ketawang,dasar,,,,,,,,
,,,,,,,,,,,,
122449,k,0,tari bondan,dasar,,,,,,,,
122449.1,x,,<tari bond> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122450,k,0,tari cokek,dasar,,,,,,,,
,,,,,,,,,,,,
122451,k,0,tari degola,dasar,,,,,,,,
,,,,,,,,,,,,
122452,k,0,tari dolan keemasan,dasar,,,,,,,,
122452.1,x,,<tari dolan keemas> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122453,k,0,tari eksperimental,dasar,,,,,,,,
,,,,,,,,,,,,
122454,k,0,tari galop,dasar,,,,,,,,
,,,,,,,,,,,,
122455,k,0,tari gambus,dasar,,,,,,,,
,,,,,,,,,,,,
122456,k,0,tari gandrung,dasar,,,,,,,,
,,,,,,,,,,,,
122457,k,0,tari hula-hula,dasar,,,,,,,,
,,,,,,,,,,,,
122458,k,0,tari inai,dasar,,,,,,,,
122458.1,x,,<tari ina> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122459,k,0,tari kejang,dasar,,,,,,,,
,,,,,,,,,,,,
122460,k,0,tari keris,dasar,,,,,,,,
122460.1,x,,<tari keri> + [-is:-s],bentukan,[177] [S] -is + (i),,,,,,,
122460.2,x,,<tari ker> + -is,bentukan,[178] [S] -is + (<others>),,,,,,,
,,,,,,,,,,,,
122461,k,0,tari kipas,dasar,,,,,,,,
,,,,,,,,,,,,
122462,k,0,tari lantiarosa,dasar,,,,,,,,
,,,,,,,,,,,,
122463,k,0,tari patobo,dasar,,,,,,,,
,,,,,,,,,,,,
122464,k,0,tari payung,dasar,,,,,,,,
,,,,,,,,,,,,
122465,k,0,tari pencak silat,dasar,,,,,,,,
,,,,,,,,,,,,
122466,k,0,tari pendet,dasar,,,,,,,,
,,,,,,,,,,,,
122467,k,0,tari perut,dasar,,,,,,,,
,,,,,,,,,,,,
122468,k,0,tari piring,dasar,,,,,,,,
,,,,,,,,,,,,
122469,k,0,tari pomani,dasar,,,,,,,,
122469.1,x,,<tari poman> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122470,k,0,tari ranggas,dasar,,,,,,,,
,,,,,,,,,,,,
122471,k,0,tari telanjang,dasar,,,,,,,,
,,,,,,,,,,,,
122472,k,0,tari tiang,dasar,,,,,,,,
,,,,,,,,,,,,
122473,k,0,tari topeng,dasar,,,,,,,,
,,,,,,,,,,,,
122474,k,2,tari-menari,dasar,,,,,,,,
122474.1,v,,<tari> [-] [meng-:me-] + <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [24] [RD] |meng-,,,,,,,
,,,,,,,,,,,,
122475,v,5,tari-tari,dasar,,,,,,,,
122475.1,v,,<tari> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122475.2,x,,<tar> + -i [-] <r> + -i,bentukan,[28] [S] -i + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122476,k,59,tari-tarian,dasar,,,,,,,,
122476.1,v,,<tari> [-] <r> + -an,bentukan,[23] [RD] |,,,,,,,
122476.2,x,,<tar> + -i [-] <r> + -i + -an,bentukan,[28] [S] -i + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122477,k,311,tarian,dasar,,,,,,,,
122477.1,v,,<tari> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122478,k,0,tarian dolo,dasar,,,,,,,,
,,,,,,,,,,,,
122479,k,0,tarian tradisional,dasar,,,,,,,,
,,,,,,,,,,,,
122480,v,7,tarian-tarian,dasar,,,,,,,,
122480.1,x,,<tarian> [-] <r>,bentukan,[23] [RD] |,,,,,,,
122480.2,v,,<tari> + -an [-] <r> + -an,bentukan,[38] [S] -an + (<all>) => [23] [RD] |,,,,,,,
,,,,,,,,,,,,
122481,v,4,tarianku,dasar,,,,,,,,
122481.1,x,,<tarian> + -ku,bentukan,[32] [SFS] -ku + (<all>),,,,,,,
122481.2,v,,<tari> + -an + -ku,bentukan,[38] [S] -an + (<all>) => [32] [SFS] -ku + (<all>),,,,,,,
,,,,,,,,,,,,
122482,v,3,tarianmu,dasar,,,,,,,,
122482.1,x,,<tarian> + -mu,bentukan,[33] [SFS] -mu + (<all>),,,,,,,
122482.2,v,,<tari> + -an + -mu,bentukan,[38] [S] -an + (<all>) => [33] [SFS] -mu + (<all>),,,,,,,
,,,,,,,,,,,,
122483,v,29,tariannya,dasar,,,,,,,,
122483.1,x,,<tarian> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122483.2,v,,<tari> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122484,k,0,tarib,dasar,,,,,,,,
,,,,,,,,,,,,
122485,k,840,tarif,dasar,,,,,,,,
,,,,,,,,,,,,
122486,k,0,tarif biasa,dasar,,,,,,,,
,,,,,,,,,,,,
122487,k,0,tarif dasar,dasar,,,,,,,,
,,,,,,,,,,,,
122488,k,0,tarif empiris,dasar,,,,,,,,
122488.1,x,,<tarif empiri> + [-is:-s],bentukan,[177] [S] -is + (i),,,,,,,
122488.2,x,,<tarif empir> + -is,bentukan,[178] [S] -is + (<others>),,,,,,,
,,,,,,,,,,,,
122489,k,0,tarif iklan,dasar,,,,,,,,
122489.1,x,,<tarif ikl> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122490,k,0,tarif kerugian,dasar,,,,,,,,
122490.1,x,,<tarif kerugi> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122491,k,0,tarif konfidensial,dasar,,,,,,,,
,,,,,,,,,,,,
122492,k,0,tarif lewat waktu,dasar,,,,,,,,
,,,,,,,,,,,,
122493,k,0,tarif manual,dasar,,,,,,,,
,,,,,,,,,,,,
122494,k,0,tarif morbiditas,dasar,,,,,,,,
122494.1,x,,<tarif morbid> + -itas,bentukan,[205] [S] -itas + (<others>),,,,,,,
,,,,,,,,,,,,
122495,k,0,tarif premi,dasar,,,,,,,,
122495.1,x,,<tarif prem> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122496,k,0,tarif premi reasuransi,dasar,,,,,,,,
122496.1,x,,<tarif premi reasurans> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122497,k,0,tarif premi standar,dasar,,,,,,,,
,,,,,,,,,,,,
122498,k,0,tarif premi substandar,dasar,,,,,,,,
,,,,,,,,,,,,
122499,k,0,tarif promo,dasar,,,,,,,,
,,,,,,,,,,,,
122500,k,0,tarif promosi,dasar,,,,,,,,
122500.1,x,,<tarif promos> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122501,k,0,tarif terkenakan,dasar,,,,,,,,
122501.1,x,,<tarif terkena> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122501.2,x,,<tarif terkenak> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122502,k,0,tarif tetap,dasar,,,,,,,,
,,,,,,,,,,,,
122503,k,0,tarif wisata,dasar,,,,,,,,
122503.1,x,,<tarif > + -wisata,bentukan,[212] [S] -wisata + (<all>),,,,,,,
,,,,,,,,,,,,
122504,v,2,tarif-tarif,dasar,,,,,,,,
122504.1,v,,<tarif> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122505,k,888,tarik,dasar,,,,,,,,
,,,,,,,,,,,,
122506,k,0,tarik muka,dasar,,,,,,,,
,,,,,,,,,,,,
122507,k,0,tarik muka dua belas,dasar,,,,,,,,
,,,,,,,,,,,,
122508,k,0,tarik suara,dasar,,,,,,,,
,,,,,,,,,,,,
122509,k,0,tarik tali,dasar,,,,,,,,
122509.1,x,,<tarik tal> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122510,k,0,tarik tambang,dasar,,,,,,,,
,,,,,,,,,,,,
122511,k,0,tarik urat,dasar,,,,,,,,
,,,,,,,,,,,,
122512,k,0,tarik wajah,dasar,,,,,,,,
,,,,,,,,,,,,
122513,k,48,tarik-menarik,dasar,,,,,,,,
122513.1,v,,<tarik> [-] [meng-:me-] + <r>,bentukan,[1] meng- + (l;m;n;ng;ny;r;w;y;[t:n];[p:m];[k:ng];[s:ny]) + (-i;-kan) => [24] [RD] |meng-,,,,,,,
,,,,,,,,,,,,
122514,v,2,tarik-tarikan,dasar,,,,,,,,
122514.1,v,,<tarik> [-] <r> + -an,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122515,k,15,tarik-ulur,dasar,,,,,,,,
,,,,,,,,,,,,
122516,k,172,tarikan,dasar,,,,,,,,
122516.1,x,,<tari> + -kan,bentukan,[29] [S] -kan + (<all>),,,,,,,
122516.2,v,,<tarik> + -an,bentukan,[38] [S] -an + (<all>),,,,,,,
,,,,,,,,,,,,
122517,k,0,tarikan gravitasi,dasar,,,,,,,,
122517.1,x,,<tarikan gravitas> + -i,bentukan,[28] [S] -i + (<all>),,,,,,,
,,,,,,,,,,,,
122518,v,11,tarikannya,dasar,,,,,,,,
122518.1,x,,<tarikan> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
122518.2,x,,<tari> + -kan + -nya,bentukan,[29] [S] -kan + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
122518.3,v,,<tarik> + -an + -nya,bentukan,[38] [S] -an + (<all>) => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122519,c,4,tarikat,dasar,tarekat,,,,,,,
,,,,,,,,,,,,
122520,k,15,tarikh,dasar,,,,,,,,
,,,,,,,,,,,,
122521,v,4,tariklah,dasar,,,,,,,,
122521.1,v,,<tarik> + -lah,bentukan,[31] [FS] -lah + (<all>),,,,,,,
,,,,,,,,,,,,
122522,k,0,tarikolot,dasar,,,,,,,,
,,,,,,,,,,,,
122523,k,49,taring,dasar,,,,,,,,
,,,,,,,,,,,,
122524,v,11,taring-taring,dasar,,,,,,,,
122524.1,v,,<taring> [-] <r>,bentukan,[23] [RD] |,,,,,,,
,,,,,,,,,,,,
122525,v,4,taring-taringnya,dasar,,,,,,,,
122525.1,x,,<taring> [-] <r> + -nya,bentukan,[23] [RD] |,,,,,,,
122525.2,v,,<taring> [-] <r> + -nya,bentukan,[23] [RD] | => [34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
122526,v,20,taringnya,dasar,,,,,,,,
122526.1,v,,<taring> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,,,,
,,,,,,,,,,,,
